Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
copper alloy constantan (Cu55 Ni45),22.175,6.28,398,3.538,8852.0,8890.0,42.412292,30.818237
steel stainless 501 and 502,37.656,10.5,460,3.588,11626.0,7800.0,46.885986,17.078247
beryllium alloy (Be96.5),142.26,43.0,1799,3.31,21700.0,1840.0,50.029663,62.678833
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
magnesium aluminate (MgO.Al2O3) (100 d),15.062,5.15,812,2.923,6634.0,3600.0,60.71747,67.36963
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
calcium oxide (CaO) (packed pwd 50 d),0.318,0.25,753,1.28,638.0,1700.0,53.81604,54.39331
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,2.811,6977.0,3650.0,68.83362,58.46289
zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,2.531,3983.0,5700.0,58.652283,66.96509
rhenium,60.668,20.9,138,2.898,13264.0,21000.0,32.153564,48.480713
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
polyurethane rubber elastomer l-100,0.293,0.14,1674,2.093,783.0,1250.0,47.358704,66.41321
soil sandy (H2O 8),0.586,0.33,1004,1.757,1014.0,1750.0,49.13983,62.95056
selenium (grey),0.753,0.49,322,1.542,1078.0,4790.0,56.69763,69.63696
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
kaolin brick,0.084,0.36,774,0.232,139.0,300.0,52.37451,42.330322
thorium carbide (ThC) (80 pc dense),8.786,6.03,172,1.462,3579.0,8500.0,56.323853,60.1073
polonium,1.674,1.48,121,1.128,1376.0,9320.0,59.701294,57.1239
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
carbon diamond gem quality type 1,543.92,306.0,506,1.776,31090.0,3510.0,67.13806,67.29553
titanium alloy imi 679 (sn11  zr5  al2),6.694,2.87,481,2.328,3949.0,4840.0,69.75165,65.34558
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
silicon carbide (SiC) (powder in air),0.251,0.23,678,1.075,519.0,1585.0,53.549683,52.164307
mtbe (methyl tert-butyl ether),0.12,0.0776,2090,1.547,430.8,740.0,53.924866,61.597656
nickel alloy (Ni60 Cr16 Fe24),13.389,3.53,460,3.795,7130.0,8250.0,51.121704,41.20508
nickel oxide (NiO) (single xtal),46.024,11.2,603,4.106,13742.0,6810.0,40.8385,12.169067
petn h.e.,0.209,0.07,1674,2.946,785.0,1760.0,47.44049,69.43506
steel stainless 501 and 502,37.656,10.5,460,3.588,11626.0,7800.0,46.885986,17.078247
quartz flour fine (H2O 21 pc),2.218,0.83,1464,2.664,2431.0,1820.0,42.129517,68.698
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
samarium sulfide (sms),3.766,2.14,293,1.761,2575.0,6010.0,58.42041,77.50952
titanium alloy hylite 55 (imi),7.531,3.03,523,2.489,4330.0,4760.0,70.130066,60.037598
nickel alloy (Ni99.5) low c  220  225,60.668,14.8,460,4.089,15754.0,8890.0,35.71411,14.305542
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,1.702,4464.0,2510.0,66.67615,54.09424
bromine (gas),0.005,2.59,234,0.002,3.0,7.59,51.926758,38.58423
titanium alloy (Ti Bal Al4 V3 Mo1.5),7.95,3.25,544,2.448,4411.0,4500.0,71.76807,59.351074
silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,0.119,81.0,160.0,52.208008,40.937378
lawrencium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
lead glass,1.13,0.74,502,1.526,1313.0,3040.0,54.051147,58.567505
diatomaceous earth brick (prll strata),0.138,0.4,795,0.35,220.0,440.0,52.54315,43.7417
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
snow (fresh),0.105,0.5,2092,0.209,148.0,100.0,53.167175,48.963623
titanium boride (TiB2) (hp  95 pc dens),25.104,8.72,669,2.877,8501.0,4300.0,66.32434,39.328613
brick masonry medium,0.711,0.43,837,1.674,1091.0,2000.0,50.564087,61.379272
melamine asbestos filled (mst 95-205),0.628,0.2,1674,3.097,1394.0,1850.0,44.641174,71.218994
nickel alloy hy mu 80,33.388,8.53,448,3.916,11430.0,8740.0,45.34613,16.700195
beryllium alloy (Be98.5) (as received),133.89,40.8,1799,3.28,20955.0,1823.0,47.94586,62.29065
magnesium alloy ze10a(o h24) (wrought),135.98,75.4,1025,1.804,15662.0,1760.0,65.08374,66.277466
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
cobalt alloy s-590 (wrought),12.97,3.71,418,3.49,6731.0,8350.0,47.724976,41.91284
zilloy 15,104.6,36.3,402,2.886,17369.0,7180.0,49.91797,52.409546
strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,2.739,4004.0,5110.0,54.131714,62.75354
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
silicon carbide (SiC) (frit bnd brick),46.024,25.2,678,1.831,9178.0,2700.0,87.472595,51.831055
bismuth telluride sulfide (Bi2Te2S),2.385,2.0,176,1.197,1688.0,6800.0,55.18451,59.949097
cobalt alloy hs-25 (l-605) (wrought),9.205,2.61,385,3.523,5694.0,9150.0,45.161682,50.039673
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
soil sandy (H2O 8),0.586,0.33,1004,1.757,1014.0,1750.0,49.13983,62.95056
quartz crystal (silicon oxide) a axis (SiO2),6.485,3.25,753,1.995,3598.0,2650.0,55.92505,59.9209
tantalum beryllide (ta2be17),29.288,6.67,879,4.395,11343.0,5000.0,23.150696,54.67639
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
zirconium alloys zircalloy 2 and 3,13.807,7.19,293,1.922,5151.0,6560.0,70.3111,59.35132
zirconium oxide (Y2O3 12  Zr 8) (97 d),2.469,1.02,439,2.415,2442.0,5500.0,52.84088,67.8186
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
aniline,0.17,0.08,2140,2.185,609.4,1021.0,52.504578,62.911743
granite (high k),3.975,1.79,837,2.218,2969.0,2650.0,50.83899,64.283936
soil sandy (H2O 8),0.586,0.33,1004,1.757,1014.0,1750.0,49.13983,62.95056
indium arsenide (inas) (pure s-doped),26.778,17.8,251,1.506,6350.0,6000.0,68.1626,63.049683
water (H2O) (solid - ice),2.092,0.54,4217,3.867,2844.0,917.0,25.375183,85.559814
boride z cermet (ZrB2 81-87  MoSi2 13),20.92,8.01,502,2.61,7391.0,5200.0,68.8999,42.098755
tungsten carbide cermet k92,74.057,25.7,209,2.884,14622.0,13800.0,23.63562,49.608765
silicon carbide (SiC) (rextal  65-70d),18.41,13.1,678,1.403,5082.0,2070.0,71.48657,51.525513
air,0.025,19.4,1004,0.001,6.0,1.29,51.73767,37.001953
yttrium,12.552,9.59,293,1.31,4054.0,4470.0,65.164795,60.60254
iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
ammonia (NH3) (gas)  (25 °C),0.025171,16.77,2162,0.002,103.0,0.694,52.67871,44.875732
magnesium alloy zre0 (ez30) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
nickel alloy monel 403 (hot-rolled),24.811,6.38,439,3.89,9827.0,8860.0,46.355286,24.776001
glass (avg prop),1.046,0.54,837,1.925,1419.0,2300.0,48.67639,64.5249
boride z cermet (ZrB2 81-87  MoSi2 13),20.92,8.01,502,2.61,7391.0,5200.0,68.8999,42.098755
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
lead telluride (PbTe) (polyxtal),2.343,1.91,151,1.232,1697.0,8160.0,55.437805,61.62085
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
nickel alloy monel weldable alloy,26.778,7.06,439,3.789,10076.0,8630.0,45.99646,23.205566
cadmium,92.048,46.3,230,1.99,13535.0,8650.0,57.660156,61.19458
beryllium copper (Cu Bal Be 0.38-0.55),220.08,63.3,398,3.483,27667.0,8750.0,54.851562,56.211548
potassium chromate (K2O.2CrO3) (s axis),2.092,0.85,921,2.468,2272.0,2680.0,43.811157,67.45813
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
tnt h.e. (2 4 6-trinitrotoluene) (cast),0.26,0.12,1372,2.127,744.0,1550.0,45.208435,67.64551
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
berkelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
titanium carbide + co (TiC 80 Co 20),35.564,12.1,544,2.948,10239.0,5420.0,52.341003,28.72461
composition c-4 h.e. (rdx 90  binders),0.26,0.14,1172,1.863,696.0,1590.0,47.503174,64.58594
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
nickel,87.864,22.3,444,3.952,18623.0,8900.0,26.006409,35.324585
samarium sulfide (sms),3.766,2.14,293,1.761,2575.0,6010.0,58.42041,77.50952
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
granite (avg prop),2.51,1.13,837,2.218,2359.0,2650.0,48.571716,65.22949
nickel oxide (nio) (polyxtal  88-100 d),12.97,3.36,603,3.859,7072.0,6400.0,43.290894,53.578613
air,0.025,19.4,1004,0.001,6.0,1.29,51.73767,37.001953
magnesium alloy az31(x s) (wrought),83.68,48.0,983,1.745,12085.0,1775.0,61.53656,59.17578
calcium carbonate - calcite (CaCO3) (a axis),3.849,1.7,837,2.268,2955.0,2710.0,50.44879,64.8645
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
lx-07 h.e. (hmx 90 viton a 10),0.502,0.26,1049,1.962,992.0,1870.0,46.770813,65.68042
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
plutonium,8.201,3.19,134,2.573,4592.0,19200.0,53.23047,29.882324
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
steel stainless hh hl hk (cast),18.828,4.85,502,3.88,8548.0,7730.0,51.532227,32.997192
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2.184,2600.0,2900.0,50.48578,64.1532
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
nitrogen (gas),0.026,19.6,1042,0.001,6.0,1.251,51.749207,37.098877
magnesium alloy 1959 (Mg Ce4.33),129.7,72.6,1004,1.787,15225.0,1780.0,64.97101,66.08777
niobium alloy (Nb80 W15 Mo5),50.208,21.2,247,2.371,10909.0,9600.0,34.102783,44.33252
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
magnesium alloy ek41a(t5 t6) (casting),100.42,54.1,1025,1.855,13649.0,1810.0,62.55017,63.102295
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
sulfur,0.276,0.19,711,1.422,627.0,2000.0,52.60199,57.133667
diatomaceous earth brick (use to 1100C),0.222,0.47,795,0.477,325.0,600.0,52.72113,45.231323
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
silicon carbide (SiC) (powder in air),0.251,0.23,678,1.075,519.0,1585.0,53.549683,52.164307
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
cobalt alloy s-816 (wrought),12.97,3.57,418,3.628,6863.0,8680.0,47.96411,41.82068
hafnium nitride (HfN),11.715,5.16,209,2.268,5157.0,10850.0,44.3537,40.30481
mock h.e. 90010 (pbx-9404 mech mock),0.532,0.24,1255,2.234,1090.0,1780.0,44.232605,68.32007
zirconium alloy 3zi (Zr97 Al1 Sn1 Mo1),8.368,4.55,285,1.841,3922.0,6460.0,59.45642,70.65918
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
titanium alloy c100m (rc130a) (mn7.9),10.878,4.54,523,2.395,5105.0,4580.0,76.65283,56.16931
hydrogen (gas),0.186,145.0,14230,0.001,15.0,0.0899,81.98407,83.23926
titanium alloy (Ti Bal Al4 V3 Mo1.5),7.95,3.25,544,2.448,4411.0,4500.0,71.76807,59.351074
steel stainless 17-7ph,16.736,6.58,335,2.546,6525.0,7600.0,39.222412,51.47937
diatomaceous earth brick (prll strata),0.138,0.4,795,0.35,220.0,440.0,52.54315,43.7417
vegetable oil,0.15,0.0833,2000,1.8,519.7,900.0,51.978516,63.025146
uranium alloy mulberry,10.46,4.33,146,2.409,5027.0,16500.0,48.12195,32.925293
polymethyl methacrylate (PMMA),0.209,0.12,1464,1.728,601.0,1180.0,48.466797,63.524414
tungsten titanium carbide k5h,35.564,8.21,377,4.336,12411.0,11500.0,36.872803,17.758423
titanium alloy (Ti Bal Al5 Sn5 Zr5),7.95,3.44,502,2.309,4285.0,4600.0,72.92108,61.394165
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
silicon carbide (SiC) (rextal  65-70d),18.41,13.1,678,1.403,5082.0,2070.0,71.48657,51.525513
sandstone (low density),1.841,0.87,962,2.116,1974.0,2200.0,47.41156,65.55151
scandium,12.552,7.58,552,1.656,4560.0,3000.0,69.44171,56.348755
silicon carbide (SiC) (carbofrax brick),21.757,11.9,678,1.831,6310.0,2700.0,76.74963,54.35254
nickel alloy inconel 600 (annealed),15.062,3.89,456,3.867,7633.0,8480.0,50.447693,37.952637
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
brass cartridge (Cu70 Zn30),100.42,28.0,418,3.582,18976.0,8570.0,31.12091,43.396362
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
composition b-3 h.e. (rdx 60  tnt 40),0.262,0.11,1356,2.339,783.0,1725.0,43.815247,68.82239
polyvinyl chloride acytate  rigid,0.167,0.12,1004,1.406,485.0,1400.0,52.121277,57.322998
abs resin (high k),0.209,0.13,1506,1.566,572.0,1040.0,50.2688,61.506226
uranium alloy (U82 Zr18),10.878,4.61,167,2.355,5067.0,14100.0,45.205444,34.87256
lead telluride (pbte) (single crystal),2.092,1.7,151,1.232,1603.0,8160.0,55.424133,61.61206
diatomaceous earth brick (high burn),0.226,0.48,795,0.469,326.0,590.0,52.70984,45.13672
nickel alloy multimet (n-155) (low c),16.318,4.57,435,3.574,7637.0,8215.0,47.866028,36.110718
titanium alloy (Ti Bal  Al4  Zr3.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
nickel alloy d and e,44.769,11.1,460,4.048,13465.0,8800.0,41.476257,9.615723
concrete lightweight,0.209,0.34,657,0.624,361.0,950.0,52.92981,46.977173
indium arsenide (inas) (pure s-doped),26.778,17.8,251,1.506,6350.0,6000.0,68.1626,63.049683
bronze  phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
cupronickel (Cu90 Ni10),41.84,12.5,377,3.355,11842.0,8900.0,39.46588,23.798584
nickel alloy nimonic 80a,11.715,3.43,418,3.415,6328.0,8170.0,47.957092,44.4386
uranium alloy (U90  FS10),15.062,6.54,134,2.305,5890.0,17200.0,46.959167,34.518433
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
parafin oil,0.151,0.09,1970,1.576,488.0,800.0,52.618103,62.556152
iron (-51 to 1537 deg c),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
osmium,85.772,29.3,130,2.934,15846.0,22570.0,32.535583,56.753662
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
zinc-aluminum alloy astm 23,112.97,40.9,418,2.759,17662.0,6600.0,52.557983,57.287598
deuterium,0.14,110.0,7113,0.001,13.0,0.18,56.83777,62.888306
propylene glycol,0.2,0.0691,2790,2.89,760.8,1036.0,54.46118,69.177124
manganese telluride (95mnte.5mnas),1.255,0.55,402,2.291,1695.0,5700.0,56.14337,70.28894
lx-04 h.e. (hmx 85  viton a 15),0.448,0.23,1023,1.913,925.0,1870.0,47.174988,65.23889
magnesium titanate porcelain,1.883,0.86,753,2.184,2028.0,2900.0,47.221313,64.35242
zirconium hydride (ZrH + ZrH2),18.41,9.44,310,1.953,5992.0,6300.0,72.41516,54.922974
arsenic  grey,4.184,2.21,331,1.897,2815.0,5730.0,58.899902,79.57898
silver (liquid),251.04,93.5,289,2.688,25962.0,9300.0,57.473206,62.506226
uranium oxide + zr (UO2 43 Zr 57)(59 p),13.389,12.9,259,1.036,3727.0,4000.0,69.922424,58.557007
sodium chloride (NaCl) (opaque  impure),5.523,2.93,870,1.884,3226.0,2165.0,55.14612,58.877075
nickel alloy illium r,12.97,3.39,460,3.823,7043.0,8310.0,51.27649,42.06299
carbon tetrachloride,0.11,0.0824,840,1.336,383.2,1590.0,52.976868,55.662354
curium,12.552,14.3,126,0.882,3321.0,7000.0,68.137695,60.000732
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
brick masonry medium,0.711,0.43,837,1.674,1091.0,2000.0,50.564087,61.379272
mock h.e. lm-04-0 h7-048-a522.1,0.527,0.28,1109,1.885,997.0,1700.0,47.561584,64.61218
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,2.811,6977.0,3650.0,68.83362,58.46289
magnesium alloy za(ac) (casting),146.44,81.6,1025,1.794,16207.0,1750.0,65.3869,66.427734
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
iron (0 to 3000 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
ethylene glycol 50%,0.425,0.12,3287,3.471,1215.0,1056.0,44.55243,76.46814
silver antimony telluride (SnTe 25 pc),0.983,0.72,209,1.359,1156.0,6500.0,55.917603,65.06384
boron carbide (B4C) (porous),17.154,9.32,921,1.842,5620.0,2000.0,63.516663,51.825928
potassium (liquid),62.342,92.7,820,0.672,6475.0,820.0,53.97888,30.724731
nickel alloy waspalloy,11.297,3.29,418,3.428,6226.0,8200.0,48.330322,45.089966
steel  stainless 446,22.928,6.56,460,3.496,8955.0,7600.0,49.14453,28.737549
chrome magnesite brick,2.092,0.93,753,2.259,2174.0,3000.0,46.594604,64.5061
andalusite - aluminum silicate (Al2O3.SiO2) (ortho xtal),11.004,4.55,770,2.418,5158.0,3140.0,71.2074,59.344727
antimony (liquid),20.92,12.6,255,1.658,5891.0,6500.0,68.260315,61.657593
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
titanium carbide cermet k162b,19.246,5.9,544,3.264,7925.0,6000.0,47.560303,39.187256
silicon boride (SiB4),9.832,3.82,1046,2.573,5030.0,2460.0,46.157288,69.721924
soil loam (H2O 4-27 pc),0.418,0.25,1046,1.674,837.0,1600.0,49.67102,61.885742
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
polyvinylidene fluoride (kynar),0.126,0.05,1381,2.431,552.0,1760.0,43.78839,68.663574
molybdenum carbide (Mo2C),20.92,6.69,347,3.123,8086.0,9000.0,34.99414,40.16394
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
alumina brick fused (Al2O3 96) (22 p),3.096,1.42,753,2.184,2600.0,2900.0,50.48578,64.1532
vanadium carbide (VC),36.401,12.5,519,2.906,10284.0,5600.0,50.457886,30.888672
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
tungsten carbide cermet k801 (WC + Ni),82.006,26.5,209,3.093,15934.0,14800.0,20.586914,52.042236
silicon carbide (SiC) (powder in air),0.251,0.23,678,1.075,519.0,1585.0,53.549683,52.164307
water (H2O) (solid - ice),2.092,0.54,4217,3.867,2844.0,917.0,25.375183,85.559814
calcium oxide (CaO) (pressed  91 dens),13.807,6.05,753,2.282,5613.0,3030.0,73.255554,55.16919
silicon carbide (SiC) (slf bnd he atm),167.36,79.7,678,2.102,18752.0,3100.0,64.958496,66.215454
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
tungsten selenide (WSe2),3.431,1.52,226,2.26,2784.0,10000.0,62.52307,41.429688
titanium carbide cermet k162b,19.246,5.9,544,3.264,7925.0,6000.0,47.560303,39.187256
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
europium boride (EuB6) (93.0 pc dense),23.012,7.97,628,2.889,8151.0,4600.0,63.93286,39.44214
phenoxy,0.176,0.08,1674,2.093,606.0,1250.0,47.349,66.42029
plutonium carbide (PuC) (arcm or cast),7.113,2.86,184,2.484,4204.0,13500.0,47.529358,34.00537
titanium alloy imi 679 (sn11  zr5  al2),6.694,2.87,481,2.328,3949.0,4840.0,69.75165,65.34558
iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
nickel alloy nimonic 90,12.552,3.53,431,3.556,6681.0,8250.0,49.3338,42.41504
torlon (PAI),0.54,0.381,970,1.416,875.0,1460.0,52.438354,57.181152
calcium carbonate - calcite (CaCO3) (a axis),3.849,1.7,837,2.268,2955.0,2710.0,50.44879,64.8645
magnesium alloy hm21a(o h24) (wrought),138.07,75.7,1025,1.825,15872.0,1780.0,65.0611,66.26636
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
tungsten telluride (wte2),1.59,0.75,176,2.112,1831.0,12000.0,71.07526,27.121216
acrylic (lucite plexiglass),0.152,0.1,1297,1.556,486.0,1200.0,50.170166,60.586548
neptunium,12.552,5.56,126,2.268,5325.0,18000.0,52.032043,33.572998
sapphire - aluminum oxide (Al2O3) (polyxtal 100 d),38.493,12.4,778,3.096,10919.0,3980.0,53.18048,33.921753
bronze phospher 5 percent,71.128,21.3,377,3.34,15406.0,8860.0,34.12567,35.553955
niobium beryllide (NbBe12) (hp  93-97d),23.012,7.44,1105,3.094,8438.0,2800.0,35.264526,70.958496
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
solder - tin alloy (Pb39.2  Sn60.8),50.208,30.0,197,1.675,9160.0,8500.0,66.29523,62.33252
cobalt alloy hs-36 (cast),9.372,2.69,385,3.48,5711.0,9040.0,44.43341,49.720703
magnesium alloy a3a (wrought),108.78,60.0,1025,1.814,14048.0,1770.0,63.356567,63.713745
lithium (liquid),42.258,19.7,4226,2.147,9525.0,508.0,16.39325,37.260498
balsa wood (across grain),0.05,0.17,2301,0.299,123.0,130.0,53.488464,51.6521
magnesium alloy zw3(x) (zk31) (wrought),125.52,72.5,962,1.732,14745.0,1800.0,64.7724,64.15076
colombium alloy (Cb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
magnesium alloy hk31a(h24) (casting),112.97,61.6,1025,1.835,14397.0,1790.0,63.708252,64.68396
bronze aluminum (Cu92 Al8),71.128,23.9,377,2.978,14547.0,7900.0,38.32074,42.09778
silicon carbide (SiC) (powder in air),0.251,0.23,678,1.075,519.0,1585.0,53.549683,52.164307
ethanol  (25 °C),0.1635,0.085538,2435,1.911,48.0,785.13,55.94684,62.167236
beryllium oxide + Be + Si,192.46,63.5,1046,3.033,24162.0,2900.0,56.201416,61.8761
nickel alloy inconel (wrought  annld),13.305,3.48,452,3.828,7136.0,8470.0,50.737,41.254272
potassium,97.069,150.0,753,0.649,7938.0,862.0,56.15039,23.370361
bronze phospher 5 percent,71.128,21.3,377,3.34,15406.0,8860.0,34.12567,35.553955
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
nickel alloy hastelloy x,9.832,2.8,427,3.514,5877.0,8230.0,50.12976,47.618774
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
tantalum antimonide (TaSb),18.828,8.03,167,2.338,6643.0,14000.0,36.726685,37.112183
nickel alloy nimonic 105,10.878,2.96,460,3.675,6324.0,7990.0,51.34137,46.222046
