Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
uranium oxide (UO2) (single crystal),10.46,3.93,243,2.663,5275.0,10960.0,39.223083,40.099
polyvinyl butyral,0.084,0.05,1674,1.841,393.0,1100.0,48.664673,65.4375
tantalum alloy (Ta99.5 Nb0.5),45.187,19.8,138,2.277,10147.0,16500.0,36.169373,45.858276
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
magnesium alloy a8(ac or st) (casting),83.68,45.1,1025,1.855,12460.0,1810.0,61.331116,60.92163
nickel alloy illium r,12.97,3.39,460,3.823,7043.0,8310.0,51.27649,42.06299
castor oil,0.181,0.1,1800,1.721,558.0,956.0,50.490723,64.11633
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
plastic laminate  various types,0.209,0.09,1255,2.259,687.0,1800.0,43.81665,68.62036
mullite (3Al2O3.2SiO2) (100 pc dense),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
zirconium oxide (ZrO2) (monoc.  100 d),1.849,0.73,456,2.535,2166.0,5560.0,50.07318,60.981323
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
lead alloy (solder) (Sn37.5 Pb37.5 In25),56.902,27.5,239,2.077,10860.0,8690.0,48.137695,51.69934
terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,3.14,7939.0,5000.0,45.526855,47.42737
tungsten silicide (WSi2) (hp 95 dense),40.585,14.0,308,2.895,10838.0,9400.0,30.971375,38.19629
nickel oxide (NiO) (single xtal),46.024,11.2,603,4.106,13742.0,6810.0,40.8385,12.169067
nickel alloy nimonic 100,11.297,3.07,460,3.68,6449.0,8000.0,51.430664,45.313843
calcium,125.52,123.0,657,1.018,11305.0,1550.0,59.453247,42.61792
n-hexane  (25 °C),0.12002,0.08065,2273,1.488,34.0,655.0,54.616272,61.090576
magnesium alloy zh42 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
calcium boride (CaB6),39.162,12.7,1255,3.087,10996.0,2460.0,28.809875,58.807617
aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
beryllium alloy (Be96.5),142.26,43.0,1799,3.31,21700.0,1840.0,50.029663,62.678833
ytterbium,8.368,8.05,149,1.043,2949.0,7000.0,61.97052,60.213013
magnesium alloy zw3(x) (zk31) (wrought),125.52,72.5,962,1.732,14745.0,1800.0,64.7724,64.15076
titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,2.354,4325.0,4500.0,72.96484,59.731445
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
magnesium alloy m1a (wrought),131.8,73.1,1025,1.804,15420.0,1760.0,64.95892,66.215576
iron grey cast pearlitic (3.0-3.2 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,3.396,4128.0,5200.0,34.292114,77.76221
lead alloy (Pb39.2 Sn60.8) (solder),50.208,30.0,197,1.675,9160.0,8500.0,66.29523,62.33252
titanium alloy (Ti Bal  Sn4.8  Al4.5),7.531,3.2,523,2.354,4210.0,4500.0,72.077576,60.187256
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
cobalt alloy (Co64 Cr30 W6),12.552,3.56,418,3.528,6658.0,8440.0,48.128906,42.513306
melamine (low dens  low k),0.167,0.07,1674,2.344,626.0,1400.0,47.17151,66.55066
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
potassium bromide (KBr),3.807,3.18,435,1.196,2134.0,2750.0,55.504395,54.65869
lead (liquid),16.318,10.2,151,1.601,5104.0,10600.0,57.823425,53.04956
silver selenide (Ag2Se),0.837,0.37,280,2.24,1370.0,8000.0,73.64087,50.13623
polyvinyl chloride rigid,0.251,0.18,1004,1.406,594.0,1400.0,52.205627,57.267212
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
niobium carbide (NbC),33.472,12.4,356,2.706,9511.0,7600.0,38.778748,43.32605
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
iron grey cast ferritic (2.3-3.0 c),50.208,15.2,460,3.307,12889.0,7190.0,46.265015,19.951782
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
nickel alloy illium r,12.97,3.39,460,3.823,7043.0,8310.0,51.27649,42.06299
tin,61.086,37.0,226,1.652,10044.0,7310.0,75.99078,62.229004
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
actinium,12.552,9.9,126,1.273,3989.0,10100.0,59.222595,58.096924
titanium alloy (Ti Bal Al4 V2 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
zinc sulfide (ZnS) (cubic crystal),25.941,13.4,473,1.939,7091.0,4100.0,99.209656,54.08362
borolite 101 cermet (ZrB2 93-96  B 4-7),27.614,11.3,460,2.438,8207.0,5300.0,69.49921,44.93152
lanthanum boride (LaB6) (99.5 pc dense),47.698,16.5,628,2.889,11735.0,4600.0,55.039795,27.614502
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
barium fluoride (BaF2) (single crystal),11.297,5.26,439,2.147,4926.0,4890.0,74.77753,60.00647
magnesium alloy az81a (t4) (casting),54.392,30.1,1004,1.807,9914.0,1800.0,65.57715,52.858032
rubber natural,0.138,0.07,2092,1.946,518.0,930.0,52.418213,62.702637
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
magnesite brick a (MgO 90) (14.5 p),4.937,1.92,837,2.578,3567.0,3080.0,54.90857,66.15869
nickel alloy nimonic 105,10.878,2.96,460,3.675,6324.0,7990.0,51.34137,46.222046
beryllium alloy (Be96.5) (annealed),175.73,53.1,1799,3.31,24118.0,1840.0,54.616272,61.090576
titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
pyrex glass,1.13,0.7,728,1.616,1351.0,2220.0,52.824158,59.307617
potassium bromide (KBr 75  KCl 25),2.092,1.72,477,1.216,1595.0,2550.0,54.358032,54.67505
aluminum alloy (Al84.0 wrot or annld),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
carbon graphite (typical k),167.36,105.0,707,1.591,16318.0,2250.0,65.975525,63.776733
helium (gas),0.15,164.0,5188,0.001,12.0,0.177,54.616272,61.090576
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
titanium alloy ti140a (Fe2 Cr2 Mo2),11.715,4.87,523,2.406,5309.0,4600.0,77.22113,55.14441
uranium oxide + mo (UO2 80 vol) (91 d),13.807,4.13,335,3.35,6798.0,10000.0,33.018494,45.66797
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
nickel alloy hastelloy a (annealed),9.623,2.78,393,3.458,5771.0,8800.0,45.451477,48.91638
silicon carbide (SiC) (single xtal),87.864,40.4,678,2.176,13826.0,3210.0,74.56366,58.15515
cobalt alloy wi-A664:G67052,25.104,7.14,418,3.511,9393.0,8400.0,44.473328,27.292725
nickel alloy m-252 (ge j-1500),9.623,2.67,439,3.604,5891.0,8210.0,50.67279,48.40442
mica (single crystal) (synthetic) (98d),2.092,0.9,837,2.335,2210.0,2790.0,45.21942,65.57654
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
indium arsenide (inas) (pure s-doped),26.778,17.8,251,1.506,6350.0,6000.0,68.1626,63.049683
magnesium alloy ek33a  h811 (casting),104.6,55.8,1025,1.876,14007.0,1830.0,62.904175,64.04541
forsterite - magnesium silicate (2MgO.SiO2) (100 pc dense),5.858,2.19,837,2.678,3960.0,3200.0,56.680664,68.404785
granite (avg prop),2.51,1.13,837,2.218,2359.0,2650.0,48.571716,65.22949
nickel alloy hastelloy r-235,9.205,2.55,439,3.609,5765.0,8220.0,50.6839,49.347656
magnesium alloy zk20a (wrought),125.52,68.0,1025,1.845,15218.0,1800.0,64.60034,66.037964
strontium titanate + co (co 10),4.602,1.67,502,2.761,3565.0,5500.0,46.195923,62.705444
magnesium alloy zh42 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
silicon oxide (SiO2) (foam 1 atm air),0.055,0.46,745,0.119,81.0,160.0,52.208008,40.937378
cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,3.599,6724.0,8610.0,48.17047,42.554077
phosphorus (white),4.184,3.1,741,1.349,2375.0,1820.0,57.009705,52.5719
titanium carbide + nbc + ni,33.472,11.2,544,2.992,10006.0,5500.0,51.407837,28.451782
strontium sulfate (SrSO4) (crystal),1.799,0.78,586,2.321,2043.0,3960.0,44.884766,63.82556
lithium hydride (lih) (cast gas voids),12.97,4.43,4184,2.929,6163.0,700.0,8.793579,57.87622
polyethylene (high density),0.502,0.23,2301,2.186,1048.0,950.0,54.965515,62.397095
uranium carbide (UC2),33.472,12.6,234,2.644,9414.0,11300.0,27.447693,41.972412
indium antimonide (insb) (imp 0.33-1.2),71.128,46.7,218,1.526,10409.0,7000.0,76.567566,63.02124
lithium fluoride (LiF) (single crystal),11.088,2.57,1632,4.308,6912.0,2640.0,18.194641,84.22766
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
steel stainless 201 and 202,16.318,4.22,502,3.865,7943.0,7700.0,51.647583,37.574707
vanadium boride (vb2),56.902,17.0,661,3.351,13810.0,5070.0,40.255676,23.083862
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
soda plate glass,1.213,0.65,753,1.883,1511.0,2500.0,50.173767,63.687378
datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,2.253,752.0,1795.0,43.8761,68.58154
europium,12.552,13.5,176,0.933,3419.0,5300.0,69.31702,58.850464
toluene (25 °C),0.1304,0.088902,1701,1.467,39.0,862.0,51.820618,60.818726
silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,1.702,4464.0,2510.0,66.67615,54.09424
diatomaceous earth brick (use to 1100C),0.222,0.47,795,0.477,325.0,600.0,52.72113,45.231323
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
magnesium sulfate (MgSO4) (crystal),2.51,0.75,1255,3.338,2895.0,2660.0,32.47162,79.77783
brass  yellow (Cu65  Zn35),117.15,36.7,377,3.193,19331.0,8470.0,41.734253,50.56848
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
lead alloy (Pb50 Sn50) (solder),46.024,24.3,213,1.894,9344.0,8890.0,53.376343,54.34143
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
tantalum boride (TaB2),86.19,31.8,226,2.712,15285.0,12000.0,28.649109,50.376587
manganese oxide (Mn3O4) (87 pc dense),4.184,1.59,628,2.638,3321.0,4200.0,56.515625,63.897827
nickel alloy monel k (annealed),17.74,4.91,427,3.615,8006.0,8465.0,46.8208,34.224243
yttrium boride (YB6) (98.4 pc dense),29.288,13.0,628,2.261,8135.0,3600.0,100.0,42.038452
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
tantalum alloy (Ta89 W9 HF2),40.585,26.0,92,1.559,7958.0,16950.0,55.332336,50.11487
tantalum alloy (Ta90 W10),54.392,24.0,134,2.273,11114.0,16960.0,37.328552,49.152466
aluminum alloy 2024-t4 and 24s-24 (ar),118.41,50.9,837,2.327,16597.0,2780.0,62.19458,64.8457
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
neoprene rubber,0.192,0.07,2176,2.72,724.0,1250.0,53.288025,65.98584
zirconium nitride (ZrN),8.786,3.36,385,2.618,4796.0,6800.0,45.803345,59.444214
titanium alloy hylite 60 (imi),7.531,3.1,523,2.432,4280.0,4650.0,70.78302,60.485962
barium titanate (bBaO.TiO2) (100 d),4.184,1.61,439,2.59,3293.0,5900.0,52.88513,62.050293
chrome brick (Cr2O3 32),1.172,0.58,628,2.01,1534.0,3200.0,49.986572,63.998413
pyrophyllite (perpend. to bedding),2.427,1.04,837,2.344,2385.0,2800.0,46.10785,65.519775
steel carbon type 1020 (0.2 - 0.6 c),71.128,19.7,460,3.616,16040.0,7860.0,35.53784,27.233398
copper sulfate (CuSO4) (crystal),2.092,0.77,753,2.715,2384.0,3606.0,42.686096,67.74402
magnesium alloy az81a (t4) (casting),54.392,30.1,1004,1.807,9914.0,1800.0,65.57715,52.858032
potassium chloride (KCl) (sylvite xtal),6.987,5.12,686,1.365,3089.0,1990.0,58.33612,51.59021
magnesium alloy zh62a(ac) tz6 (casting),112.97,63.1,962,1.789,14220.0,1860.0,64.00885,63.55249
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
bronze silicon low,54.392,16.5,377,3.299,13388.0,8750.0,38.07483,25.615479
mock h.e. lm-04-0 h4-048-a294-3,1.004,0.61,962,1.635,1282.0,1700.0,50.694763,60.74463
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
diallyl phthalate (dapon),0.305,0.16,1130,1.865,755.0,1650.0,47.549683,64.546265
tin (liquid),33.472,20.1,243,1.665,7460.0,6850.0,78.13837,61.415894
urea-formaldehyde alpha cellulose fllr,0.377,0.15,1674,2.511,972.0,1500.0,47.06903,66.62561
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
zinc oxide (ZnO),27.196,9.78,494,2.781,8694.0,5630.0,57.025208,37.184326
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
steel stainless he (cast),17.154,3.81,586,4.5,8785.0,7680.0,47.09613,42.452637
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
nickel alloy nichrome v (Ni80 Cr20),13.389,3.72,431,3.603,6946.0,8360.0,48.934998,40.953613
teak wood (across grain),0.142,0.12,2301,1.243,420.0,540.0,54.58264,60.808594
cobalt alloy he-1049,14.644,4.71,352,3.114,6748.0,8846.0,34.779236,44.457397
boron nitride (bn 97  bn2o3 2) (prs ax),15.062,9.02,795,1.67,5015.0,2100.0,65.64563,52.02588
tungsten carbide (WC),41.84,14.6,184,2.87,10962.0,15600.0,25.234375,42.00061
praseodymium boride (PrB6) (95 pc dens),41.003,14.2,628,2.889,10880.0,4600.0,60.294373,26.803955
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
magnesium alloy zre1(aa) (casting),100.42,54.4,1025,1.845,13612.0,1800.0,62.55945,62.956787
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
uranium alloy mulberry,10.46,4.33,146,2.409,5027.0,16500.0,48.12195,32.925293
nickel alloy permanickel,57.739,14.9,444,3.885,14969.0,8750.0,38.3338,15.073486
potassium fluoride (KG|F),7.113,3.33,862,2.138,3899.0,2480.0,54.415955,61.531616
beryllium carbide (Be2C) (hp or snt),23.43,7.84,1423,2.988,8368.0,2100.0,16.530396,76.5509
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
silicone rubber (medium k),0.335,0.21,1255,1.632,739.0,1300.0,49.662598,61.513916
sulfur,0.276,0.19,711,1.422,627.0,2000.0,52.60199,57.133667
tellurium,3.347,2.67,201,1.254,2048.0,6240.0,54.9339,59.50598
titanium boride (TiB2) (hp  95 pc dens),25.104,8.72,669,2.877,8501.0,4300.0,66.32434,39.328613
nickel alloy incoloy 901,13.389,3.89,418,3.44,6790.0,8230.0,47.1131,41.507324
molybdenum alloy (Mo70 W30),123.01,61.6,201,1.998,15669.0,9940.0,57.724915,62.758667
cerium oxide (CeO2),11.715,5.46,352,2.147,5012.0,6100.0,72.07068,62.9104
silicon carbide (SiC) (brick Al2O3 1.7),11.715,6.89,678,1.702,4464.0,2510.0,66.67615,54.09424
"phenolic resin pressed (types 40, 50)",0.377,0.22,1255,1.732,808.0,1380.0,48.748596,62.881104
magnesium alloy m1(ac) (casting),129.7,71.9,1025,1.804,15296.0,1760.0,64.89087,66.181885
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
zirconium hydride (ZrH + ZrH2),18.41,9.44,310,1.953,5992.0,6300.0,72.41516,54.922974
magnesium oxide (MgO) (polyxtal 100 d),61.923,18.8,921,3.297,14285.0,3580.0,28.138489,33.377808
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
brass red wrought (Cu85 Zn15),146.44,44.4,377,3.299,21967.0,8750.0,46.20569,55.28003
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,3.14,7939.0,5000.0,45.526855,47.42737
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
nickel alloy inconel 600 (annealed),15.062,3.89,456,3.867,7633.0,8480.0,50.447693,37.952637
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
Graphite Sheet 25 um (in-plane),1600.0,896.0,850,1.785,53442.0,2100.0,54.616272,61.090576
aluminum alloy 7075-t6 (annealed),163.18,69.6,837,2.344,19557.0,2801.0,63.391174,65.4386
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
polysulfone,0.259,0.17,1255,1.569,638.0,1250.0,50.19055,60.5885
uranium oxide (U3O8) (prsd at 100 psi),0.297,0.14,276,2.208,810.0,8000.0,75.80011,48.95752
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
uranium oxide + st steel (UO2 70 vol),7.95,2.38,335,3.35,5158.0,10000.0,36.85614,52.46106
boron nitride (BN) (perp pr axis 95 d),32.844,19.7,795,1.67,7405.0,2100.0,78.46661,52.547485
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
nickel alloy nimonic 80a,11.715,3.43,418,3.415,6328.0,8170.0,47.957092,44.4386
polyvinyl alcohol,0.795,0.51,1255,1.569,1117.0,1250.0,50.66687,60.248047
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
iron oxide - magnatite (FeO.Fe2O3),5.021,1.48,653,3.396,4128.0,5200.0,34.292114,77.76221
polypropylene filled,0.18,0.07,1925,2.445,663.0,1270.0,49.868103,64.64734
white pine wood (across grain),0.13,0.11,2301,1.22,398.0,530.0,54.557495,60.598267
nickel alloy inconel 600 (annealed),15.062,3.89,456,3.867,7633.0,8480.0,50.447693,37.952637
polyurethane foam  flexible,0.042,0.4,1757,0.105,66.0,60.0,52.673462,44.831787
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
silver,426.77,172.0,236,2.478,32520.0,10500.0,60.55365,64.032715
brass muntz metal,125.52,39.7,377,3.167,19927.0,8400.0,44.83557,52.595825
polyvinyl chloride  flexible,0.167,0.07,1674,2.511,648.0,1500.0,47.075012,66.62134
petn h.e.,0.209,0.07,1674,2.946,785.0,1760.0,47.44049,69.43506
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
uranium oxide (U3O8) (prsd at 100 psi),0.297,0.14,276,2.208,810.0,8000.0,75.80011,48.95752
silicon carbide (SiC) (single xtal),489.53,225.0,678,2.176,32636.0,3210.0,70.079956,68.753296
vanadium beryllide (VBe12) (85 pc dens),30.962,11.1,1464,2.782,9280.0,1900.0,21.688599,67.59741
pbx-9011 h.e. (hmx 90 estane 10),0.431,0.21,1172,2.074,946.0,1770.0,45.826843,66.889404
steel  stainless cf (cast),16.108,4.14,502,3.891,7917.0,7750.0,51.769287,38.020386
sulfur,0.276,0.19,711,1.422,627.0,2000.0,52.60199,57.133667
ethylene glycol 30%,0.484,0.12,3714,3.851,1365.0,1037.0,37.428345,81.80298
melamine (low dens  low k),0.167,0.07,1674,2.344,626.0,1400.0,47.17151,66.55066
etbe (ethyl tert-butyl ether),0.14,0.0824,2207,1.699,487.7,770.0,54.616272,61.090576
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
steel stainless 17-7ph,16.736,6.58,335,2.546,6525.0,7600.0,39.222412,51.47937
cobalt alloy hs-21 (aged),32.635,9.3,423,3.511,10699.0,8300.0,44.443115,21.618164
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
polyvinylidene chloride,0.126,0.06,1339,2.276,535.0,1700.0,43.987427,68.60474
potassium bromide (KBr 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
strontium titanate (SrO.TiO2) (100 d),5.858,2.14,536,2.739,4004.0,5110.0,54.131714,62.75354
gallium,33.472,15.2,372,2.197,8581.0,5907.0,68.652954,53.02771
quartz flour fine (H2O 21 pc),2.218,0.83,1464,2.664,2431.0,1820.0,42.129517,68.698
zirconium alloy 3zi (Zr97 Al1 Sn1 Mo1),8.368,4.55,285,1.841,3922.0,6460.0,59.45642,70.65918
sodium (liquid),84.517,65.8,1381,1.284,10419.0,930.0,59.56018,55.003662
magnesium alloy hm31a (wrought),104.6,56.1,1025,1.866,13969.0,1820.0,62.915466,63.88855
abs resin (low k),0.138,0.09,1506,1.566,465.0,1040.0,50.177185,61.58423
quartz flour fine (dry),0.167,0.26,745,0.656,331.0,880.0,52.970825,47.32019
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
ethylene glycol 50%,0.425,0.12,3287,3.471,1215.0,1056.0,44.55243,76.46814
magnesium alloy a3a (wrought),108.78,60.0,1025,1.814,14048.0,1770.0,63.356567,63.713745
selenium (grey),0.753,0.49,322,1.542,1078.0,4790.0,56.69763,69.63696
cerium sulfide (Ce2S3),0.586,0.33,343,1.784,1022.0,5200.0,59.490417,82.12671
epoxy  glass fiber filled (molded),0.167,0.11,795,1.511,503.0,1900.0,51.418457,58.902344
aluminum oxide + cr (Al2O3 23 Cr 77),46.024,15.5,502,2.962,11677.0,5900.0,48.84021,28.025635
cobalt alloy j-1570,10.042,2.86,418,3.511,5941.0,8400.0,49.50049,47.212036
forsterite - magnesium silicate (2MgO.SiO2) (100 pc dense),5.858,2.19,837,2.678,3960.0,3200.0,56.680664,68.404785
alumina porcelain (high k),18.828,6.97,795,2.703,7134.0,3400.0,73.00958,55.979248
silicon carbide + si (SiC 76 Si 24),60.668,29.0,837,2.093,11266.0,2500.0,73.66437,52.43225
magnesium alloy hm31a (wrought),104.6,56.1,1025,1.866,13969.0,1820.0,62.915466,63.88855
lanthanum,13.807,11.6,193,1.197,4059.0,6200.0,65.5094,61.400513
foamed glass,0.035,0.32,753,0.108,61.0,144.0,52.1969,40.844482
lithium nickel oxide (5LiO.95NiO),13.18,2.81,711,4.693,7866.0,6600.0,35.148865,56.82068
teflon reinforced,0.414,0.21,975,1.94,896.0,1990.0,46.959778,65.56384
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
indium antimonide (insb) (imp 0.33-1.2),71.128,46.7,218,1.526,10409.0,7000.0,76.567566,63.02124
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
molybdenum alloy (Mo70 W30),123.01,61.6,201,1.998,15669.0,9940.0,57.724915,62.758667
terbium boride (TbB6) (94.3 pc dense),20.083,6.4,628,3.14,7939.0,5000.0,45.526855,47.42737
glass borosilicate crown,1.046,0.62,669,1.686,1328.0,2520.0,52.403687,60.868896
nickel iron alloy invar (Fe64 Ni36),10.878,2.64,515,4.12,6692.0,8000.0,49.601807,48.09619
praseodymium boride (PrB6) (95 pc dens),41.003,14.2,628,2.889,10880.0,4600.0,60.294373,26.803955
lithium aluminum silicate (b-spodumene),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
butadiene-acrylonitrile rubber + c,0.418,0.22,1443,1.934,899.0,1340.0,46.84906,66.00842
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
titanium alloy imi 680 (Sn11  Mo4  Al2),7.113,3.05,481,2.328,4070.0,4840.0,70.86627,64.98486
nobelium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
styrene-butadiene rubber + carbon black,0.243,0.14,1757,1.757,653.0,1000.0,49.95819,64.46106
silicon carbide (SiC) (rextal 80-100d),51.882,26.4,678,1.966,10099.0,2900.0,91.93402,50.15332
chrome-nickel-iron superalloys,23.43,6.67,439,3.512,9074.0,8000.0,47.175964,28.079956
manganese oxide (Mn3O4) (87 pc dense),4.184,1.59,628,2.638,3321.0,4200.0,56.515625,63.897827
sand northway (H2O 4-10) (avg prop),0.837,0.59,837,1.423,1091.0,1700.0,53.05713,56.660767
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
uranium,26.443,11.8,117,2.235,7694.0,19100.0,46.094055,39.854248
analcite - sodium aluminum silicate hydrate (Na2O.Al2O3.4SiO2.4H2O),3.431,1.13,1339,3.026,3222.0,2260.0,35.1792,73.00366
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
iron ingot (fe99.9+),71.128,20.2,448,3.526,15831.0,7870.0,36.37329,28.988037
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,2.31,3334.0,2760.0,51.388794,64.65918
uranium oxide + zr (UO2 80 Zr 20),10.878,5.15,243,2.117,4795.0,8710.0,51.901245,56.746216
mtbe (methyl tert-butyl ether),0.12,0.0776,2090,1.547,430.8,740.0,53.924866,61.597656
