Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3),Material_encoded,Thickness,Weight,Cost
copper sulfate (CuSO4) (crystal),2.0920,0.7700,753,2.7150,2384.0000,3606.0000,42.6861,67.7440,195,34.8667,125729.2000,2362.0082
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,0.0100,18.0000,0.5286
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,0.0325,58.5000,1.7179
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,0.0550,99.0000,2.9072
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,0.0775,139.5000,4.0965
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,0.1000,180.0000,5.2858
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,1305.4080,2349734.4000,69001.2978
magnesium alloy az81a (t4) (casting),54.3920,30.1000,1004,1.8070,9914.0000,1800.0000,65.5772,52.8580,352,906.5333,1631760.0000,47917.5679
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,0.0100,19.9000,0.5159
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,0.0325,64.6750,1.6767
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,0.0550,109.4500,2.8375
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,0.0775,154.2250,3.9982
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,0.1000,199.0000,5.1590
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,167.6880,333699.1200,8651.0591
potassium chloride (KCl) (sylvite xtal),6.9870,5.1200,686,1.3650,3089.0000,1990.0000,58.3361,51.5902,591,116.4500,231735.5000,6007.6800
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,0.0100,18.6000,0.6355
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,0.0325,60.4500,2.0655
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,0.0550,102.3000,3.4954
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,0.0775,144.1500,4.9253
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,0.1000,186.0000,6.3552
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,2711.2800,5042980.8000,172308.5951
magnesium alloy zh62a(ac) tz6 (casting),112.9700,63.1000,962,1.7890,14220.0000,1860.0000,64.0088,63.5525,373,1882.8333,3502070.0000,119658.7466
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,0.0100,46.0000,0.4637
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,0.0325,149.5000,1.5072
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,0.0550,253.0000,2.5506
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,0.0775,356.5000,3.5940
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,0.1000,460.0000,4.6374
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,381.5760,1755249.6000,17695.3077
titanium alloy ti150a (Cr2.7 Fe1.4),15.8990,6.3600,544,2.5020,6307.0000,4600.0000,79.3659,46.3743,784,264.9833,1218923.3333,12288.4081
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,0.0100,87.5000,0.2562
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,0.0325,284.3750,0.8325
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,0.0550,481.2500,1.4089
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,0.0775,678.1250,1.9852
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,0.1000,875.0000,2.5615
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,1305.4080,11422320.0000,33438.6512
bronze silicon low,54.3920,16.5000,377,3.2990,13388.0000,8750.0000,38.0748,25.6155,112,906.5333,7932166.6667,23221.2856
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,0.0100,17.0000,0.6074
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,0.0325,55.2500,1.9742
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,0.0550,93.5000,3.3410
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,0.0775,131.7500,4.7077
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,0.1000,170.0000,6.0745
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,24.0960,40963.2000,1463.7026
mock h.e. lm-04-0 h4-048-a294-3,1.0040,0.6100,962,1.6350,1282.0000,1700.0000,50.6948,60.7446,416,16.7333,28446.6667,1016.4601
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0100,21.0000,0.5255
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0325,68.2500,1.7078
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0550,115.5000,2.8901
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.0775,162.7500,4.0724
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,0.1000,210.0000,5.2547
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,788.2560,1655337.6000,41420.8703
boron nitride (BN) (perp pr axis 95 d),32.8440,19.7000,795,1.6700,7405.0000,2100.0000,78.4666,52.5475,92,547.4000,1149540.0000,28764.4933
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,0.0100,16.5000,0.6455
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,0.0325,53.6250,2.0978
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,0.0550,90.7500,3.5500
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,0.0775,127.8750,5.0023
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,0.1000,165.0000,6.4546
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,7.3200,12078.0000,472.4787
diallyl phthalate (dapon),0.3050,0.1600,1130,1.8650,755.0000,1650.0000,47.5497,64.5463,210,5.0833,8387.5000,328.1102
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,0.0100,68.5000,0.6142
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,0.0325,222.6250,1.9960
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,0.0550,376.7500,3.3779
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,0.0775,530.8750,4.7597
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,0.1000,685.0000,6.1416
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,803.3280,5502796.8000,49337.1073
tin (liquid),33.4720,20.1000,243,1.6650,7460.0000,6850.0000,78.1384,61.4159,758,557.8667,3821386.6667,34261.8801
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,0.0100,15.0000,0.6663
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,0.0325,48.7500,2.1653
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,0.0550,82.5000,3.6644
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,0.0775,116.2500,5.1635
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,0.1000,150.0000,6.6626
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,9.0480,13572.0000,602.8285
urea-formaldehyde alpha cellulose fllr,0.3770,0.1500,1674,2.5110,972.0000,1500.0000,47.0690,66.6256,856,6.2833,9425.0000,418.6309
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.0100,0.0143,0.3562
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.0325,0.0464,1.1575
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.0550,0.0786,1.9589
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.0775,0.1107,2.7603
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.1000,0.1429,3.5617
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.6240,0.8917,22.2248
oxygen (gas),0.0260,23.2000,795,0.0010,5.0000,1.4290,51.5720,35.6167,527,0.4333,0.6192,15.4339
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,0.0100,56.3000,0.3718
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,0.0325,182.9750,1.2085
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,0.0550,309.6500,2.0451
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,0.0775,436.3250,2.8818
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,0.1000,563.0000,3.7184
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,652.7040,3674723.5200,24270.3583
zinc oxide (ZnO),27.1960,9.7800,494,2.7810,8694.0000,5630.0000,57.0252,37.1843,880,453.2667,2551891.3333,16854.4155
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,0.0100,46.0000,0.5842
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,0.0325,149.5000,1.8985
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,0.0550,253.0000,3.2128
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,0.0775,356.5000,4.5272
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,0.1000,460.0000,5.8415
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,220.9200,1016232.0000,12905.1043
titanium alloy (Ti Bal Sn5.5 Al2),9.2050,3.8300,523,2.4060,4706.0000,4600.0000,74.8723,58.4153,773,153.4167,705716.6667,8961.8780
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,0.0100,76.8000,0.4245
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,0.0325,249.6000,1.3797
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,0.0550,422.4000,2.3349
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,0.0775,595.2000,3.2901
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,0.1000,768.0000,4.2453
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,411.6960,3161825.2800,17477.5808
steel stainless he (cast),17.1540,3.8100,586,4.5000,8785.0000,7680.0000,47.0961,42.4526,708,285.9000,2195712.0000,12137.2089
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,0.0100,13.0000,0.5612
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,0.0325,42.2500,1.8238
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,0.0550,71.5000,3.0864
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,0.0775,100.7500,4.3491
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,0.1000,130.0000,5.6117
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,20.0880,26114.4000,1127.2796
soil (av props),0.8370,0.6200,1046,1.3600,1067.0000,1300.0000,53.0565,56.1171,680,13.9500,18135.0000,782.8331
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,0.0100,83.6000,0.4095
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,0.0325,271.7000,1.3310
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,0.0550,459.8000,2.2524
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,0.0775,647.9000,3.1739
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,0.1000,836.0000,4.0954
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,321.3360,2686368.9600,13159.8702
nickel alloy nichrome v (Ni80 Cr20),13.3890,3.7200,431,3.6030,6946.0000,8360.0000,48.9350,40.9536,483,223.1500,1865534.0000,9138.7987
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,0.0100,5.4000,0.6081
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,0.0325,17.5500,1.9763
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,0.0550,29.7000,3.3445
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,0.0775,41.8500,4.7127
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,0.1000,54.0000,6.0809
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,3.4080,1840.3200,207.2357
teak wood (across grain),0.1420,0.1200,2301,1.2430,420.0000,540.0000,54.5826,60.8086,742,2.3667,1278.0000,143.9137
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,0.0100,88.4600,0.4446
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,0.0325,287.4950,1.4449
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,0.0550,486.5300,2.4452
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,0.0775,685.5650,3.4454
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,0.1000,884.6000,4.4457
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,351.4560,3108979.7760,15624.8189
cobalt alloy he-1049,14.6440,4.7100,352,3.1140,6748.0000,8846.0000,34.7792,44.4574,159,244.0667,2159013.7333,10850.5687
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,0.0100,21.0000,0.5203
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,0.0325,68.2500,1.6908
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,0.0550,115.5000,2.8614
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,0.0775,162.7500,4.0320
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,0.1000,210.0000,5.2026
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,361.4880,759124.8000,18806.7313
boron nitride (bn 97  bn2o3 2) (prs ax),15.0620,9.0200,795,1.6700,5015.0000,2100.0000,65.6456,52.0259,95,251.0333,527170.0000,13060.2301
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,0.0100,156.0000,0.4200
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,0.0325,507.0000,1.3650
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,0.0550,858.0000,2.3100
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,0.0775,1209.0000,3.2550
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,0.1000,1560.0000,4.2001
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,1004.1600,15664896.0000,42175.3325
tungsten carbide (WC),41.8400,14.6000,184,2.8700,10962.0000,15600.0000,25.2344,42.0006,807,697.3333,10878400.0000,29288.4254
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,0.0100,46.0000,0.2680
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,0.0325,149.5000,0.8711
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,0.0550,253.0000,1.4742
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,0.0775,356.5000,2.0773
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,0.1000,460.0000,2.6804
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,984.0720,4526731.2000,26377.0216
praseodymium boride (PrB6) (95 pc dens),41.0030,14.2000,628,2.8890,10880.0000,4600.0000,60.2944,26.8040,599,683.3833,3143563.3333,18317.3761
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,0.0100,76.4000,0.6078
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,0.0325,248.3000,1.9753
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,0.0550,420.2000,3.3429
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,0.0775,592.1000,4.7104
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,0.1000,764.0000,6.0780
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,241.0080,1841301.1200,14648.4438
gadolinium oxide (Gd2O3) (monoc) (98 d),10.0420,4.5300,290,2.2160,4717.0000,7640.0000,59.5446,60.7799,248,167.3667,1278681.3333,10172.5304
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,0.0100,67.9000,0.6166
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,0.0325,220.6750,2.0038
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,0.0550,373.4500,3.3911
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,0.0775,526.2250,4.7784
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,0.1000,679.0000,6.1656
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,261.0720,1772678.8800,16096.7524
cerium,10.8780,8.3200,193,1.3100,3771.0000,6790.0000,60.1469,61.6564,139,181.3000,1231027.0000,11178.3002
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,0.0100,18.0000,0.6296
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,0.0325,58.5000,2.0461
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,0.0550,99.0000,3.4626
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,0.0775,139.5000,4.8792
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,0.1000,180.0000,6.2957
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,2410.0800,4338144.0000,151730.8932
magnesium alloy zre1(aa) (casting),100.4200,54.4000,1025,1.8450,13612.0000,1800.0000,62.5594,62.9568,378,1673.6667,3012600.0000,105368.6758
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,0.0100,154.5000,0.3423
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,0.0325,502.1250,1.1125
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,0.0550,849.7500,1.8827
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,0.0775,1197.3750,2.6528
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,0.1000,1545.0000,3.4230
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,401.6640,6205708.8000,13749.0491
uranium silicide (U3Si),16.7360,6.1700,176,2.7190,6740.0000,15450.0000,32.7667,34.2302,854,278.9333,4309520.0000,9547.9508
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,0.0100,165.0000,0.3293
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,0.0325,536.2500,1.0701
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,0.0550,907.5000,1.8109
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,0.0775,1278.7500,2.5517
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,0.1000,1650.0000,3.2925
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,251.0400,4142160.0000,8265.5656
uranium alloy mulberry,10.4600,4.3300,146,2.4090,5027.0000,16500.0000,48.1219,32.9253,836,174.3333,2876500.0000,5739.9761
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,0.0100,87.5000,0.1507
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,0.0325,284.3750,0.4899
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,0.0550,481.2500,0.8290
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,0.0775,678.1250,1.1682
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,0.1000,875.0000,1.5073
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,1385.7360,12125190.0000,20887.8722
nickel alloy permanickel,57.7390,14.9000,444,3.8850,14969.0000,8750.0000,38.3338,15.0735,491,962.3167,8420270.8333,14505.4668
potassium fluoride (KG|F),7.1130,3.3300,862,2.1380,3899.0000,2480.0000,54.4160,61.5316,595,0.0100,24.8000,0.6153
